chain,contract_reuse_count,runtime_group_count,contracts_in_group,cumulative_contracts,total_contracts,cumulative_contract_fraction,cumulative_runtime_groups,total_runtime_groups,cumulative_runtime_fraction
ethereum,128,19,2432,905462,72881396,0.012423774100046053,358698,362813,0.9886580690328075
ethereum,129,22,2838,908300,72881396,0.01246271407863812,358720,362813,0.9887187063308095
ethereum,130,14,1820,910120,72881396,0.01248768615793254,358734,362813,0.9887572937022654
ethereum,131,12,1572,911692,72881396,0.012509255448400028,358746,362813,0.9887903685920846
ethereum,132,16,2112,913804,72881396,0.012538234037119705,358762,362813,0.988834468445177
ethereum,133,20,2660,916464,72881396,0.01257473169147309,358782,362813,0.9888895932615425
ethereum,134,19,2546,919010,72881396,0.012609665160639898,358801,362813,0.9889419618370896
ethereum,135,24,3240,922250,72881396,0.012654120950153041,358825,362813,0.9890081116167282
ethereum,136,7,952,923202,72881396,0.012667183268553199,358832,362813,0.989027405302456
ethereum,137,17,2329,925531,72881396,0.012699139297496442,358849,362813,0.9890742613963667
ethereum,138,16,2208,927739,72881396,0.012729435094794288,358865,362813,0.9891183612494591
ethereum,139,18,2502,930241,72881396,0.01276376484336277,358883,362813,0.989167973584188
ethereum,140,20,2800,933041,72881396,0.012802183426892646,358903,362813,0.9892230984005534
ethereum,141,14,1974,935015,72881396,0.012829268528281208,358917,362813,0.9892616857720092
ethereum,142,8,1136,936151,72881396,0.012844855496456187,358925,362813,0.9892837356985554
ethereum,143,13,1859,938010,72881396,0.012870362691735488,358938,362813,0.989319566829193
ethereum,144,20,2880,940890,72881396,0.012909878949080503,358958,362813,0.9893746916455585
ethereum,145,12,1740,942630,72881396,0.012933753354559784,358970,362813,0.9894077665353778
ethereum,146,8,1168,943798,72881396,0.012949779392260817,358978,362813,0.989429816461924
ethereum,147,14,2058,945856,72881396,0.012978017051155278,358992,362813,0.9894684038333798
ethereum,148,12,1776,947632,72881396,0.01300238540985137,359004,362813,0.989501478723199
ethereum,149,11,1639,949271,72881396,0.013024874002139038,359015,362813,0.9895317973722
ethereum,150,34,5100,954371,72881396,0.01309485070785417,359049,362813,0.9896255095600213
ethereum,151,10,1510,955881,72881396,0.013115569301114923,359059,362813,0.989653071968204
ethereum,152,13,1976,957857,72881396,0.013142681844348865,359072,362813,0.9896889030988415
ethereum,153,14,2142,959999,72881396,0.01317207206074922,359086,362813,0.9897274904702974
ethereum,154,19,2926,962925,72881396,0.013212219480537942,359105,362813,0.9897798590458445
ethereum,155,19,2945,965870,72881396,0.013252627597857758,359124,362813,0.9898322276213918
ethereum,156,7,1092,966962,72881396,0.013267610845434409,359131,362813,0.9898515213071196
ethereum,157,9,1413,968375,72881396,0.013286998509194308,359140,362813,0.9898763274744841
ethereum,158,14,2212,970587,72881396,0.01331734919018291,359154,362813,0.98991491484594
ethereum,159,15,2385,972972,72881396,0.013350073590796752,359169,362813,0.989956258458214
ethereum,160,19,3040,976012,72881396,0.013391785195772046,359188,362813,0.9900086270337612
ethereum,161,5,805,976817,72881396,0.013402830538536884,359193,362813,0.9900224082378526
ethereum,162,13,2106,978923,72881396,0.013431726801720428,359206,362813,0.9900582393684901
ethereum,163,11,1793,980716,72881396,0.013456328416102238,359217,362813,0.9900885580174911
ethereum,164,9,1476,982192,72881396,0.01347658049799156,359226,362813,0.9901133641848555
ethereum,165,10,1650,983842,72881396,0.013499220020428807,359236,362813,0.9901409265930383
ethereum,166,14,2324,986166,72881396,0.013531107444758605,359250,362813,0.9901795139644941
ethereum,167,16,2672,988838,72881396,0.013567769750184259,359266,362813,0.9902236138175865
ethereum,168,13,2184,991022,72881396,0.013597736245337562,359279,362813,0.990259444948224
ethereum,169,8,1352,992374,72881396,0.013616286932813417,359287,362813,0.9902814948747702
ethereum,170,12,2040,994414,72881396,0.01364427761509947,359299,362813,0.9903145697645894
ethereum,171,8,1368,995782,72881396,0.013663047837338353,359307,362813,0.9903366196911356
ethereum,172,10,1720,997502,72881396,0.013686647824363848,359317,362813,0.9903641820993184
ethereum,173,11,1903,999405,72881396,0.013712758740241474,359328,362813,0.9903945007483194
ethereum,174,13,2262,1001667,72881396,0.013743795467364539,359341,362813,0.9904303318789569
ethereum,175,13,2275,1003942,72881396,0.013775010566482563,359354,362813,0.9904661630095944
ethereum,176,6,1056,1004998,72881396,0.013789499860842403,359360,362813,0.9904827004545042
ethereum,177,14,2478,1007476,72881396,0.013823500307266343,359374,362813,0.9905212878259599
ethereum,178,10,1780,1009256,72881396,0.013847923549653193,359384,362813,0.9905488502341426
ethereum,179,8,1432,1010688,72881396,0.013867571910944187,359392,362813,0.9905709001606888
ethereum,180,19,3420,1014108,72881396,0.013914497466541392,359411,362813,0.9906232687362361
ethereum,181,10,1810,1015918,72881396,0.01393933233660892,359421,362813,0.9906508311444188
ethereum,182,10,1820,1017738,72881396,0.01396430441590334,359431,362813,0.9906783935526015
ethereum,183,10,1830,1019568,72881396,0.013989413704424651,359441,362813,0.9907059559607843
ethereum,184,9,1656,1021224,72881396,0.014012135552398036,359450,362813,0.9907307621281487
ethereum,185,14,2590,1023814,72881396,0.014047672742163172,359464,362813,0.9907693494996045
ethereum,186,7,1302,1025116,72881396,0.014065537383504564,359471,362813,0.9907886431853324
ethereum,187,12,2244,1027360,72881396,0.014096327134019222,359483,362813,0.9908217180751516
ethereum,188,9,1692,1029052,72881396,0.01411954293520942,359492,362813,0.9908465242425161
ethereum,189,5,945,1029997,72881396,0.014132509207150753,359497,362813,0.9908603054466075
ethereum,190,15,2850,1032847,72881396,0.01417161383681509,359512,362813,0.9909016490588816
