chain,block_date,create_trace_count
ethereum,2017-01-19,22
ethereum,2017-01-20,25
ethereum,2017-01-21,24
ethereum,2017-01-22,21
ethereum,2017-01-23,51
ethereum,2017-01-24,56
ethereum,2017-01-25,45
ethereum,2017-01-26,26
ethereum,2017-01-27,28
ethereum,2017-01-28,14
ethereum,2017-01-29,16
ethereum,2017-01-30,13
ethereum,2017-01-31,25
ethereum,2017-02-01,118
ethereum,2017-02-02,42
ethereum,2017-02-03,42
ethereum,2017-02-04,28
ethereum,2017-02-05,33
ethereum,2017-02-06,31
ethereum,2017-02-07,92
ethereum,2017-02-08,42
ethereum,2017-02-09,37
ethereum,2017-02-10,36
ethereum,2017-02-11,12
ethereum,2017-02-12,22
ethereum,2017-02-13,91
ethereum,2017-02-14,80
ethereum,2017-02-15,181
ethereum,2017-02-16,37
ethereum,2017-02-17,111
ethereum,2017-02-18,90
ethereum,2017-02-19,23
ethereum,2017-02-20,89
ethereum,2017-02-21,256
ethereum,2017-02-22,230
ethereum,2017-02-23,154
ethereum,2017-02-24,74
ethereum,2017-02-25,15
ethereum,2017-02-26,26
ethereum,2017-02-27,29
ethereum,2017-02-28,38
ethereum,2017-03-01,38
ethereum,2017-03-02,38
ethereum,2017-03-03,8
ethereum,2017-03-04,5
ethereum,2017-03-05,13
ethereum,2017-03-06,6
ethereum,2017-03-07,4
ethereum,2017-03-08,11
ethereum,2017-03-09,7
ethereum,2017-03-10,6
ethereum,2017-03-11,2
ethereum,2017-03-12,2
ethereum,2017-03-13,202
ethereum,2017-03-14,232
ethereum,2017-03-15,57
ethereum,2017-03-16,85
ethereum,2017-03-17,8
ethereum,2017-03-18,4
ethereum,2017-03-19,5
ethereum,2017-03-20,38
ethereum,2017-03-21,35
ethereum,2017-03-22,176
ethereum,2017-03-23,71
ethereum,2017-03-24,252
ethereum,2017-03-25,56
ethereum,2017-03-26,7
ethereum,2017-03-27,44
ethereum,2017-03-28,3
ethereum,2017-03-29,10
ethereum,2017-03-30,6
ethereum,2017-03-31,25
ethereum,2017-04-01,18
ethereum,2017-04-02,2
ethereum,2017-04-03,62
ethereum,2017-04-04,27
ethereum,2017-04-05,39
ethereum,2017-04-06,28
ethereum,2017-04-07,21
ethereum,2017-04-08,2
ethereum,2017-04-09,25
ethereum,2017-04-10,30
ethereum,2017-04-11,132
ethereum,2017-04-12,79
ethereum,2017-04-13,45
ethereum,2017-04-14,25
ethereum,2017-04-15,5
ethereum,2017-04-16,111
ethereum,2017-04-17,111
ethereum,2017-04-18,773
ethereum,2017-04-19,712
ethereum,2017-04-20,1425
ethereum,2017-04-21,1828
