chain,block_date,active_factory_count
ethereum,2017-10-11,44
ethereum,2017-10-12,44
ethereum,2017-10-13,39
ethereum,2017-10-14,27
ethereum,2017-10-15,34
ethereum,2017-10-16,41
ethereum,2017-10-17,55
ethereum,2017-10-18,38
ethereum,2017-10-19,44
ethereum,2017-10-20,51
ethereum,2017-10-21,28
ethereum,2017-10-22,34
ethereum,2017-10-23,46
ethereum,2017-10-24,59
ethereum,2017-10-25,42
ethereum,2017-10-26,47
ethereum,2017-10-27,45
ethereum,2017-10-28,27
ethereum,2017-10-29,38
ethereum,2017-10-30,40
ethereum,2017-10-31,47
ethereum,2017-11-01,36
ethereum,2017-11-02,53
ethereum,2017-11-03,44
ethereum,2017-11-04,26
ethereum,2017-11-05,27
ethereum,2017-11-06,39
ethereum,2017-11-07,47
ethereum,2017-11-08,54
ethereum,2017-11-09,51
ethereum,2017-11-10,48
ethereum,2017-11-11,29
ethereum,2017-11-12,47
ethereum,2017-11-13,48
ethereum,2017-11-14,52
ethereum,2017-11-15,57
ethereum,2017-11-16,62
ethereum,2017-11-17,53
ethereum,2017-11-18,40
ethereum,2017-11-19,33
ethereum,2017-11-20,60
ethereum,2017-11-21,49
ethereum,2017-11-22,59
ethereum,2017-11-23,74
ethereum,2017-11-24,55
ethereum,2017-11-25,34
ethereum,2017-11-26,58
ethereum,2017-11-27,60
ethereum,2017-11-28,59
ethereum,2017-11-29,65
ethereum,2017-11-30,52
ethereum,2017-12-01,58
ethereum,2017-12-02,48
ethereum,2017-12-03,53
ethereum,2017-12-04,42
ethereum,2017-12-05,56
ethereum,2017-12-06,38
ethereum,2017-12-07,69
ethereum,2017-12-08,45
ethereum,2017-12-09,52
ethereum,2017-12-10,38
ethereum,2017-12-11,74
ethereum,2017-12-12,81
ethereum,2017-12-13,63
ethereum,2017-12-14,64
ethereum,2017-12-15,70
ethereum,2017-12-16,66
ethereum,2017-12-17,79
ethereum,2017-12-18,99
ethereum,2017-12-19,62
ethereum,2017-12-20,73
ethereum,2017-12-21,73
ethereum,2017-12-22,59
ethereum,2017-12-23,47
ethereum,2017-12-24,51
ethereum,2017-12-25,55
ethereum,2017-12-26,63
ethereum,2017-12-27,52
ethereum,2017-12-28,62
ethereum,2017-12-29,64
ethereum,2017-12-30,58
ethereum,2017-12-31,47
ethereum,2018-01-01,27
ethereum,2018-01-02,37
ethereum,2018-01-03,49
ethereum,2018-01-04,56
ethereum,2018-01-05,50
ethereum,2018-01-06,53
ethereum,2018-01-07,43
ethereum,2018-01-08,45
ethereum,2018-01-09,49
ethereum,2018-01-10,41
ethereum,2018-01-11,55
ethereum,2018-01-12,68
ethereum,2018-01-13,37
ethereum,2018-01-14,98
ethereum,2018-01-15,56
ethereum,2018-01-16,56
ethereum,2018-01-17,50
ethereum,2018-01-18,60
ethereum,2018-01-19,100
ethereum,2018-01-20,57
ethereum,2018-01-21,42
ethereum,2018-01-22,47
ethereum,2018-01-23,53
ethereum,2018-01-24,65
ethereum,2018-01-25,67
ethereum,2018-01-26,55
ethereum,2018-01-27,34
ethereum,2018-01-28,51
ethereum,2018-01-29,63
ethereum,2018-01-30,77
ethereum,2018-01-31,64
ethereum,2018-02-01,42
ethereum,2018-02-02,64
ethereum,2018-02-03,106
ethereum,2018-02-04,99
ethereum,2018-02-05,103
ethereum,2018-02-06,121
ethereum,2018-02-07,164
ethereum,2018-02-08,266
ethereum,2018-02-09,258
ethereum,2018-02-10,47
ethereum,2018-02-11,45
ethereum,2018-02-12,127
ethereum,2018-02-13,265
ethereum,2018-02-14,203
ethereum,2018-02-15,69
ethereum,2018-02-16,330
ethereum,2018-02-17,174
ethereum,2018-02-18,35
ethereum,2018-02-19,70
ethereum,2018-02-20,62
ethereum,2018-02-21,277
ethereum,2018-02-22,199
ethereum,2018-02-23,50
ethereum,2018-02-24,54
ethereum,2018-02-25,42
ethereum,2018-02-26,49
ethereum,2018-02-27,61
ethereum,2018-02-28,70
ethereum,2018-03-01,126
ethereum,2018-03-02,62
ethereum,2018-03-03,67
ethereum,2018-03-04,37
ethereum,2018-03-05,54
ethereum,2018-03-06,145
ethereum,2018-03-07,87
ethereum,2018-03-08,43
ethereum,2018-03-09,58
ethereum,2018-03-10,45
ethereum,2018-03-11,48
ethereum,2018-03-12,70
ethereum,2018-03-13,167
ethereum,2018-03-14,82
ethereum,2018-03-15,82
ethereum,2018-03-16,58
ethereum,2018-03-17,253
ethereum,2018-03-18,156
ethereum,2018-03-19,172
ethereum,2018-03-20,165
ethereum,2018-03-21,162
ethereum,2018-03-22,334
ethereum,2018-03-23,111
ethereum,2018-03-24,50
ethereum,2018-03-25,40
ethereum,2018-03-26,66
ethereum,2018-03-27,73
ethereum,2018-03-28,75
ethereum,2018-03-29,65
ethereum,2018-03-30,70
ethereum,2018-03-31,153
ethereum,2018-04-01,52
ethereum,2018-04-02,258
ethereum,2018-04-03,305
ethereum,2018-04-04,474
ethereum,2018-04-05,299
ethereum,2018-04-06,274
ethereum,2018-04-07,368
ethereum,2018-04-08,356
ethereum,2018-04-09,464
ethereum,2018-04-10,218
ethereum,2018-04-11,67
ethereum,2018-04-12,66
ethereum,2018-04-13,72
ethereum,2018-04-14,57
ethereum,2018-04-15,63
ethereum,2018-04-16,92
ethereum,2018-04-17,73
ethereum,2018-04-18,62
ethereum,2018-04-19,83
ethereum,2018-04-20,75
ethereum,2018-04-21,53
ethereum,2018-04-22,48
ethereum,2018-04-23,71
ethereum,2018-04-24,77
ethereum,2018-04-25,75
ethereum,2018-04-26,72
ethereum,2018-04-27,70
ethereum,2018-04-28,54
ethereum,2018-04-29,55
ethereum,2018-04-30,77
ethereum,2018-05-01,63
ethereum,2018-05-02,64
ethereum,2018-05-03,84
ethereum,2018-05-04,71
ethereum,2018-05-05,45
ethereum,2018-05-06,61
ethereum,2018-05-07,76
ethereum,2018-05-08,82
ethereum,2018-05-09,63
ethereum,2018-05-10,62
ethereum,2018-05-11,63
ethereum,2018-05-12,55
ethereum,2018-05-13,54
ethereum,2018-05-14,66
ethereum,2018-05-15,73
ethereum,2018-05-16,70
ethereum,2018-05-17,103
ethereum,2018-05-18,85
ethereum,2018-05-19,56
ethereum,2018-05-20,53
ethereum,2018-05-21,62
ethereum,2018-05-22,53
ethereum,2018-05-23,74
ethereum,2018-05-24,58
ethereum,2018-05-25,65
ethereum,2018-05-26,53
ethereum,2018-05-27,45
ethereum,2018-05-28,53
ethereum,2018-05-29,62
ethereum,2018-05-30,57
ethereum,2018-05-31,57
ethereum,2018-06-01,61
ethereum,2018-06-02,48
ethereum,2018-06-03,55
ethereum,2018-06-04,65
ethereum,2018-06-05,67
ethereum,2018-06-06,61
ethereum,2018-06-07,80
ethereum,2018-06-08,59
ethereum,2018-06-09,65
ethereum,2018-06-10,57
ethereum,2018-06-11,177
ethereum,2018-06-12,91
ethereum,2018-06-13,103
ethereum,2018-06-14,124
ethereum,2018-06-15,70
ethereum,2018-06-16,89
